Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'bosch',b'Bosch 909 Dual S',b'https://cdn2.gsmarena.com/vv/bigpic/boc909sb.gif',b'GSM',b'GSM 900 / 1800',,,,b'1999',b'Discontinued',b'122 x 50 x 17 mm (4.80 x 1.97 x 0.67 in)',b'109 g (3.84 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 32 pixels, 4 x 16 chars'",,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys Blue LCD',b'No',b'No',b'No',b'No',b'',b'',b'No',b'3',,,,,,,,,,b'Removable Li-Ion battery',,,,b'180 h',b'5 h',b'No',b'No',,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,
b'bosch',b'Bosch 909 Dual',b'https://cdn2.gsmarena.com/vv/bigpic/boc909b.gif',b'GSM',b'GSM 900 / 1800',,,,b'1999',b'Discontinued',b'112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in)',b'99 g (3.49 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 x 16 chars',,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys',b'No',b'No',b'No',b'No',b'',b'',b'No',b'3',,,,,,,,,,b'Removable Li-Ion 650 mAh battery',,,,b'70 h',b'3 h',b'No',b'No',,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,
b'bosch',b'Bosch Com 908',b'https://cdn2.gsmarena.com/vv/bigpic/boc908b.gif',b'GSM',b'GSM 900',,,,b'1998',b'Discontinued',b'112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in)',b'99 g (3.49 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 x 16 chars',,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys',b'No',b'No',b'No',b'No',b'',b'',b'No',b'3',,,,,,,,,,b'Removable Li-Ion 650 mAh battery',,,,b'70 h',b'3 h',b'No',b'No',,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,
b'bosch',b'Bosch Com 509',b'https://cdn2.gsmarena.com/vv/bigpic/boc509b.gif',b'GSM',b'GSM 900 / 1800',,,,b'1999',b'Discontinued',b'134 x 53 x 23 mm (5.28 x 2.09 x 0.91 in)',b'150 g (5.29 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 x 16 chars',,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys',b'No',b'No',b'No',b'No',b'',b'',b'No',"b'Several, half transparent'",,,,,,,,,,b'Removable NiMH battery',,,,b'87 h',b'4 h',b'No',b'No',,,b'SIM only',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,
b'bosch',b'Bosch World 718',b'https://cdn2.gsmarena.com/vv/bigpic/bow718b.gif',b'GSM',b'GSM 900 / 1900',,,,b'1996',b'Discontinued',b'142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in)',b'189 g (6.67 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 x 16 chars',,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys',b'No',b'No',b'No',b'No',b'',b'',b'No',b'',,,,,,,,,,b'Removable Li-Ion 650 mAh battery',,,,b'70 h',b'200 min',b'No',b'No',,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,
b'bosch',b'Bosch Com 738',b'https://cdn2.gsmarena.com/vv/bigpic/boc738b.gif',b'GSM',b'GSM 900 / 1800',,,,b'1996',b'Discontinued',b'142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in)',b'189 g (6.67 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 x 16 chars',,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys',b'No',b'No',b'No',b'No',b'',b'',b'No',b'',,,,,,,,,,b'Removable Li-Ion 650 mAh battery',,,,b'70 h',b'200 min',b'No',b'No',,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,
b'bosch',b'Bosch Com 906',b'https://cdn2.gsmarena.com/vv/bigpic/boc906b.gif',b'GSM',b'GSM 900',,,,b'1996',b'Discontinued',b'144 x 57 x 19 mm (5.67 x 2.24 x 0.75 in)',b'145 g (5.11 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'3 x 15 chars',,b'No',,,,,,b'No',b'No',b'Fixed icons',b'No',b'No',b'No',b'No',b'',b'',b'No',b'',,,,,,,,,,b'Removable Li-Ion 500 mAh battery',,,,b'30 h',b'75 min',b'No',b'No',,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,
b'bosch',b'Bosch Com 608',b'https://cdn2.gsmarena.com/vv/bigpic/boc608b.gif',b'GSM',b'GSM 900',,,,b'1999',b'Discontinued',b'134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in)',b'169 g (5.96 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 x 16 chars',,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys',b'No',b'No',b'No',b'No',b'',b'',b'No',b'',,,,,,,,,,b'Removable NiMH 550 mAh battery',,,,b'50 h',b'130 min',b'No',b'No',,,b'SIM only',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,
b'bosch',b'Bosch Com 607',b'https://cdn2.gsmarena.com/vv/bigpic/boc607b.gif',b'GSM',b'GSM 900',,,,b'1997',b'Discontinued',b'134 x 53 x 17 mm (5.28 x 2.09 x 0.67 in)',b'189 g (6.67 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 x 16 chars',,b'No',,,,,,b'No',b'No',b'Dynamic font size Soft keys',b'No',b'No',b'No',b'No',b'',b'',b'No',b'',,,,,,,,,,b'Removable NiMH 550 mAh battery',,,,b'80 h',b'3 h',b'No',b'No',,,b'SIM only',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,
b'bosch',b'Bosch Com 207',b'https://cdn2.gsmarena.com/vv/bigpic/boc207b.gif',b'GSM',b'GSM 900',,,,b'1997',b'Discontinued',b'147 x 56 x 23 mm (5.79 x 2.20 x 0.91 in)',b'179 g (6.31 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'1 x 10 chars',,b'No',,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',b'Removable NiMH 600 mAh battery',b'',,,,,,,,,,,,,,b'85 h',b'2 h',b'No',b'No',,,b'SIM only',b'',b'SMS',b'No',b'No',,,,,,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,
